State,County,Metro/Small Town/Rural Status,Percent with SNAP,Percent Margin of Error (±)
Washington,Garfield County,Rural area,14.4%,5.6%
West Virginia,Gilmer County,Rural area,14.4%,4.1%
Missouri,Shannon County,Rural area,14.4%,3.8%
Alabama,Lawrence County,Metro area,14.4%,2.6%
New York,Monroe County,Metro area,14.4%,0.4%
Nebraska,Cheyenne County,Rural area,14.4%,2.7%
Oklahoma,Pontotoc County,Small town,14.4%,1.6%
New York,Orleans County,Metro area,14.4%,2.0%
North Carolina,Pitt County,Metro area,14.4%,1.1%
Virginia,Henry County,Small town,14.4%,2.0%
Iowa,Lee County,Small town,14.4%,1.7%
Oklahoma,Cherokee County,Small town,14.4%,1.7%
Georgia,Newton County,Metro area,14.4%,1.7%
Florida,Marion County,Metro area,14.3%,0.8%
Pennsylvania,Northumberland County,Small town,14.3%,1.2%
Florida,Washington County,Rural area,14.3%,2.7%
North Carolina,Perquimans County,Small town,14.3%,3.0%
Texas,Gonzales County,Rural area,14.3%,2.5%
Utah,Uintah County,Small town,14.3%,2.8%
North Carolina,Beaufort County,Small town,14.3%,2.2%
Maryland,Garrett County,Rural area,14.3%,1.7%
Kentucky,Metcalfe County,Small town,14.3%,2.4%
Ohio,Columbiana County,Small town,14.3%,1.3%
Virginia,Nottoway County,Rural area,14.3%,3.0%
Michigan,Chippewa County,Small town,14.3%,2.1%
Delaware,Kent County,Metro area,14.3%,1.2%
Arkansas,Pike County,Rural area,14.3%,2.8%
Missouri,Grundy County,Rural area,14.3%,3.5%
South Carolina,Edgefield County,Metro area,14.3%,2.6%
Connecticut,New Haven County,Metro area,14.3%,0.5%
Vermont,Orleans County,Rural area,14.2%,1.5%
Iowa,Mahaska County,Small town,14.2%,2.6%
Texas,Cherokee County,Small town,14.2%,1.8%
Georgia,Hart County,Rural area,14.2%,2.5%
Illinois,Cook County,Metro area,14.2%,0.2%
Illinois,Sangamon County,Metro area,14.2%,1.1%
Illinois,Pope County,Rural area,14.2%,4.1%
Colorado,Kiowa County,Rural area,14.2%,6.8%
North Carolina,Montgomery County,Rural area,14.2%,2.9%
Illinois,St. Clair County,Metro area,14.2%,0.9%
Illinois,Greene County,Rural area,14.2%,2.4%
Louisiana,Pointe Coupee Parish,Metro area,14.2%,3.1%
Pennsylvania,Lehigh County,Metro area,14.2%,0.7%
Louisiana,East Feliciana Parish,Metro area,14.2%,3.1%
Louisiana,Beauregard Parish,Small town,14.2%,1.9%
Mississippi,Lowndes County,Small town,14.2%,1.9%
Mississippi,Benton County,Rural area,14.2%,4.4%
Kentucky,Pendleton County,Metro area,14.2%,3.9%
Virginia,Sussex County,Metro area,14.2%,3.5%
Tennessee,Roane County,Metro area,14.2%,1.9%
Texas,Refugio County,Rural area,14.2%,3.7%
Michigan,Iosco County,Rural area,14.2%,1.7%
New Mexico,Socorro County,Rural area,14.1%,3.3%
Georgia,Screven County,Rural area,14.1%,2.7%
Texas,Jackson County,Rural area,14.1%,3.4%
Iowa,Union County,Rural area,14.1%,3.2%
California,San Bernardino County,Metro area,14.1%,0.3%
Virginia,Richmond city,Metro area,14.1%,1.0%
Texas,Atascosa County,Metro area,14.1%,2.3%
Montana,Lincoln County,Rural area,14.1%,2.4%
Tennessee,Crockett County,Metro area,14.1%,2.6%
Georgia,Jones County,Metro area,14.1%,3.1%
Connecticut,Hartford County,Metro area,14.1%,0.4%
Missouri,Laclede County,Small town,14.1%,2.6%
Oregon,Clatsop County,Small town,14.1%,1.9%
Wisconsin,Florence County,Small town,14.1%,3.3%
Pennsylvania,Carbon County,Metro area,14.1%,1.8%
New Jersey,Essex County,Metro area,14.1%,0.6%
Pennsylvania,Somerset County,Small town,14.1%,1.3%
Texas,Navarro County,Small town,14.1%,2.1%
West Virginia,Mason County,Small town,14.0%,2.7%
Texas,Ward County,Rural area,14.0%,5.0%
Tennessee,Marion County,Metro area,14.0%,2.9%
Virginia,Appomattox County,Metro area,14.0%,2.9%
California,Humboldt County,Small town,14.0%,1.3%
Montana,Lake County,Rural area,14.0%,1.9%
Mississippi,Warren County,Small town,14.0%,2.0%
Michigan,Delta County,Small town,14.0%,1.6%
Pennsylvania,Fulton County,Rural area,14.0%,1.8%
West Virginia,Harrison County,Small town,14.0%,1.6%
Tennessee,Carroll County,Rural area,14.0%,2.0%
Texas,Potter County,Metro area,14.0%,1.2%
Ohio,Crawford County,Small town,14.0%,1.7%
Missouri,Dade County,Rural area,14.0%,2.9%
North Carolina,Burke County,Metro area,14.0%,1.5%
New York,Herkimer County,Metro area,14.0%,1.4%
Oregon,Multnomah County,Metro area,14.0%,0.5%
Texas,Newton County,Rural area,14.0%,3.5%
Tennessee,Anderson County,Metro area,14.0%,1.6%
Missouri,Jasper County,Metro area,14.0%,1.3%
Florida,Gulf County,Rural area,14.0%,4.5%
Florida,Jefferson County,Metro area,13.9%,3.4%
Vermont,Bennington County,Small town,13.9%,1.9%
West Virginia,Grant County,Rural area,13.9%,3.5%
Massachusetts,Berkshire County,Metro area,13.9%,1.0%
Kentucky,Taylor County,Small town,13.9%,2.9%
Illinois,Macoupin County,Metro area,13.9%,1.8%
Georgia,Rabun County,Rural area,13.9%,2.7%
Wisconsin,Rusk County,Rural area,13.9%,2.0%
Alabama,Houston County,Metro area,13.9%,0.7%
Georgia,Baldwin County,Small town,13.9%,2.3%
New York,Onondaga County,Metro area,13.9%,0.7%
Kentucky,Hopkins County,Small town,13.9%,2.0%
Colorado,Rio Grande County,Rural area,13.9%,3.9%
Pennsylvania,Berks County,Metro area,13.9%,0.7%
Washington,Klickitat County,Rural area,13.9%,2.3%
Pennsylvania,Beaver County,Metro area,13.9%,0.8%
New York,Fulton County,Small town,13.9%,1.7%
Ohio,Monroe County,Rural area,13.9%,2.5%
South Carolina,Saluda County,Metro area,13.9%,2.5%
Montana,Sanders County,Rural area,13.8%,3.0%
Tennessee,Giles County,Rural area,13.8%,1.9%
Indiana,Delaware County,Metro area,13.8%,1.2%
Oklahoma,Marshall County,Rural area,13.8%,2.0%
Missouri,St. Francois County,Small town,13.8%,2.1%
Iowa,Ringgold County,Rural area,13.8%,3.5%
North Carolina,Graham County,Rural area,13.8%,4.1%
Alabama,Chilton County,Metro area,13.8%,2.0%
Montana,Silver Bow County,Small town,13.8%,2.0%
Texas,Victoria County,Metro area,13.8%,1.6%
Kentucky,Henderson County,Metro area,13.8%,2.2%
Louisiana,Red River Parish,Rural area,13.8%,3.7%
Illinois,Bureau County,Small town,13.8%,1.6%
Tennessee,Perry County,Rural area,13.8%,4.6%
Illinois,Williamson County,Metro area,13.8%,1.3%
Kentucky,Wayne County,Rural area,13.8%,2.8%
Texas,Jasper County,Rural area,13.8%,2.6%
Virginia,Nelson County,Metro area,13.8%,3.5%
Pennsylvania,Mifflin County,Small town,13.8%,1.6%
Alabama,Winston County,Rural area,13.8%,2.6%
Kentucky,Grayson County,Rural area,13.7%,2.1%
Tennessee,Polk County,Metro area,13.7%,2.7%
Texas,Jones County,Metro area,13.7%,3.4%
Oklahoma,Jackson County,Small town,13.7%,2.4%
Tennessee,Bedford County,Small town,13.7%,2.2%
Maryland,Kent County,Rural area,13.7%,2.4%
Illinois,Johnson County,Metro area,13.7%,2.3%
Kentucky,Grant County,Metro area,13.7%,2.9%
Georgia,Floyd County,Metro area,13.7%,1.4%
Alabama,Clay County,Rural area,13.7%,3.9%
Ohio,Hardin County,Rural area,13.7%,2.2%
Tennessee,Sullivan County,Metro area,13.7%,0.9%
Montana,Musselshell County,Rural area,13.7%,4.0%
Virginia,Galax city,Rural area,13.7%,4.8%
Indiana,Grant County,Small town,13.7%,1.4%
Ohio,Summit County,Metro area,13.7%,0.6%
South Carolina,Newberry County,Small town,13.7%,2.2%
Indiana,Madison County,Metro area,13.7%,1.1%
Georgia,Haralson County,Metro area,13.7%,3.2%
North Carolina,Craven County,Metro area,13.7%,1.4%
Indiana,Crawford County,Rural area,13.7%,3.3%
Ohio,Tuscarawas County,Small town,13.7%,1.4%
Georgia,Jasper County,Metro area,13.7%,3.3%
Michigan,Crawford County,Rural area,13.7%,2.0%
Ohio,Pickaway County,Metro area,13.7%,2.0%
Texas,Real County,Rural area,13.7%,8.2%
Texas,Bexar County,Metro area,13.6%,0.3%
Michigan,Gratiot County,Small town,13.6%,1.7%
Alaska,Copper River Census Area,Rural area,13.6%,4.9%
Oklahoma,Atoka County,Rural area,13.6%,1.9%
Kentucky,Larue County,Metro area,13.6%,3.1%
Pennsylvania,Indiana County,Small town,13.6%,1.1%
Texas,Gregg County,Metro area,13.6%,1.5%
Ohio,Allen County,Metro area,13.6%,1.2%
Tennessee,Bradley County,Metro area,13.6%,1.2%
New Mexico,Eddy County,Small town,13.6%,1.9%
Ohio,Montgomery County,Metro area,13.6%,0.6%
California,Glenn County,Rural area,13.6%,3.4%
North Carolina,Guilford County,Metro area,13.6%,0.6%
Georgia,Glascock County,Rural area,13.6%,6.1%
Ohio,Trumbull County,Metro area,13.6%,1.0%
Michigan,Berrien County,Metro area,13.6%,1.0%
Tennessee,McMinn County,Small town,13.6%,1.7%
Alabama,Etowah County,Metro area,13.6%,1.2%
Louisiana,Calcasieu Parish,Metro area,13.6%,1.2%
Texas,Goliad County,Metro area,13.6%,4.2%
Florida,St. Lucie County,Metro area,13.5%,1.2%
Texas,Orange County,Metro area,13.5%,1.6%
Texas,Henderson County,Small town,13.5%,1.5%
Virginia,Northampton County,Rural area,13.5%,2.4%
Illinois,Bond County,Metro area,13.5%,3.1%
North Carolina,Stanly County,Small town,13.5%,1.5%
Illinois,Livingston County,Small town,13.5%,1.5%
Tennessee,Hamblen County,Metro area,13.5%,1.9%
Ohio,Clinton County,Small town,13.5%,1.6%
Louisiana,Lincoln Parish,Small town,13.5%,2.4%
Pennsylvania,Wyoming County,Metro area,13.5%,1.7%
Michigan,Missaukee County,Small town,13.5%,1.8%
Indiana,Sullivan County,Metro area,13.5%,3.3%
New Jersey,Hudson County,Metro area,13.5%,0.6%
Texas,Lamb County,Rural area,13.5%,2.6%
Idaho,Madison County,Small town,13.5%,2.8%
Texas,Bell County,Metro area,13.5%,0.8%
Illinois,LaSalle County,Small town,13.4%,1.1%
Colorado,Yuma County,Rural area,13.4%,3.3%
Florida,Broward County,Metro area,13.4%,0.3%
Pennsylvania,Huntingdon County,Small town,13.4%,1.0%
Oklahoma,Carter County,Small town,13.4%,1.5%
Illinois,Warren County,Rural area,13.4%,2.2%
Kentucky,Crittenden County,Rural area,13.4%,3.2%
North Carolina,Davidson County,Metro area,13.4%,1.2%
Missouri,Hickory County,Rural area,13.4%,3.0%
Kansas,Logan County,Rural area,13.4%,5.3%
Michigan,Shiawassee County,Metro area,13.4%,1.5%
Idaho,Bannock County,Metro area,13.4%,1.5%
Louisiana,LaSalle Parish,Rural area,13.4%,4.5%
Texas,Young County,Rural area,13.4%,3.1%
Mississippi,Hancock County,Metro area,13.4%,2.4%
Michigan,Bay County,Metro area,13.4%,1.1%
Illinois,Wayne County,Rural area,13.4%,1.9%
Kansas,Chautauqua County,Rural area,13.4%,3.5%
California,Stanislaus County,Metro area,13.4%,0.7%
Illinois,McDonough County,Small town,13.4%,2.4%
Michigan,Montmorency County,Rural area,13.4%,2.0%
Indiana,Scott County,Small town,13.4%,3.6%
New York,Niagara County,Metro area,13.3%,0.9%
Texas,Jack County,Rural area,13.3%,4.3%
Texas,Stonewall County,Rural area,13.3%,6.8%
Montana,Hill County,Rural area,13.3%,2.3%
Tennessee,Smith County,Metro area,13.3%,2.4%
Arkansas,Montgomery County,Rural area,13.3%,3.1%
Oklahoma,Garfield County,Metro area,13.3%,1.8%
Virginia,Tazewell County,Small town,13.3%,1.8%
Missouri,Randolph County,Small town,13.3%,2.3%
Wisconsin,Forest County,Rural area,13.3%,1.9%
Massachusetts,Franklin County,Metro area,13.3%,1.2%
Texas,Pecos County,Rural area,13.3%,3.6%
Indiana,Vigo County,Metro area,13.3%,1.3%
Michigan,Oscoda County,Rural area,13.3%,2.4%
Iowa,Greene County,Rural area,13.3%,3.1%
Alabama,Jefferson County,Metro area,13.3%,0.4%
Arkansas,Miller County,Metro area,13.3%,1.8%
Kentucky,Livingston County,Small town,13.3%,3.5%
Texas,Grimes County,Rural area,13.3%,3.3%
Maine,Kennebec County,Small town,13.3%,1.2%
Missouri,Carter County,Rural area,13.2%,4.9%
Michigan,Osceola County,Rural area,13.2%,1.6%
Oklahoma,Craig County,Rural area,13.2%,1.8%
Arkansas,Yell County,Small town,13.2%,2.6%
Texas,Harrison County,Metro area,13.2%,1.7%
Missouri,Benton County,Rural area,13.2%,2.6%
Virginia,Dinwiddie County,Metro area,13.2%,3.0%
Nevada,Nye County,Small town,13.2%,1.8%
Oklahoma,Lincoln County,Metro area,13.2%,1.3%
Illinois,De Witt County,Rural area,13.2%,2.2%
Kentucky,Breckinridge County,Rural area,13.2%,2.3%
Iowa,Appanoose County,Rural area,13.2%,3.0%
Arkansas,Polk County,Rural area,13.2%,2.8%
Texas,Bailey County,Rural area,13.2%,7.0%
Alabama,Morgan County,Metro area,13.2%,1.5%
South Carolina,Georgetown County,Small town,13.1%,2.2%
Michigan,Oceana County,Rural area,13.1%,1.5%
Kentucky,Carroll County,Rural area,13.1%,3.8%
Virginia,Buena Vista city,Rural area,13.1%,6.5%
Mississippi,Tippah County,Rural area,13.1%,3.2%
Idaho,Lemhi County,Rural area,13.1%,5.0%
Florida,Hillsborough County,Metro area,13.1%,0.4%
Illinois,Adams County,Small town,13.1%,1.3%
Virginia,Newport News city,Metro area,13.1%,1.0%
Kentucky,Clark County,Metro area,13.1%,1.8%
Tennessee,Tipton County,Metro area,13.1%,1.5%
Washington,Benton County,Metro area,13.1%,0.9%
Michigan,Tuscola County,Rural area,13.1%,1.2%
Montana,Powell County,Rural area,13.1%,4.5%
Nebraska,Gage County,Small town,13.1%,2.7%
Michigan,Mecosta County,Small town,13.1%,1.4%
West Virginia,Ritchie County,Rural area,13.1%,3.1%
Idaho,Payette County,Small town,13.1%,2.2%
North Carolina,Stokes County,Metro area,13.1%,2.0%
Michigan,Van Buren County,Rural area,13.1%,1.1%
North Carolina,Madison County,Metro area,13.1%,2.5%
Massachusetts,Worcester County,Metro area,13.1%,0.4%
Illinois,Iroquois County,Rural area,13.0%,1.5%
Missouri,Crawford County,Rural area,13.0%,2.1%
Virginia,Hampton city,Metro area,13.0%,1.3%
North Carolina,Johnston County,Metro area,13.0%,1.3%
Texas,Harris County,Metro area,13.0%,0.3%
Arkansas,Izard County,Rural area,13.0%,3.4%
Florida,Bay County,Metro area,13.0%,1.1%
Texas,Wichita County,Metro area,13.0%,1.3%
Pennsylvania,Elk County,Small town,13.0%,2.0%
Missouri,Dallas County,Metro area,13.0%,3.6%
Texas,Red River County,Rural area,13.0%,3.2%
Texas,Upshur County,Metro area,13.0%,2.2%
Ohio,Stark County,Metro area,13.0%,0.6%
Indiana,Wayne County,Small town,13.0%,1.4%
Missouri,Polk County,Metro area,13.0%,1.9%
Wisconsin,Sawyer County,Rural area,13.0%,1.8%
Minnesota,Beltrami County,Small town,13.0%,1.5%
Minnesota,Clearwater County,Rural area,13.0%,2.1%
Florida,Volusia County,Metro area,13.0%,0.6%
Alabama,Washington County,Metro area,13.0%,3.4%
North Carolina,Onslow County,Metro area,13.0%,1.7%
Arkansas,Logan County,Rural area,13.0%,2.2%
Kentucky,Madison County,Small town,13.0%,1.7%
Wisconsin,Racine County,Metro area,13.0%,0.8%
Iowa,Black Hawk County,Metro area,12.9%,1.2%
Pennsylvania,Washington County,Metro area,12.9%,0.8%
Alabama,Jackson County,Small town,12.9%,1.5%
Michigan,St. Joseph County,Small town,12.9%,1.7%
Ohio,Belmont County,Metro area,12.9%,1.7%
New York,New York County,Metro area,12.9%,0.4%
Illinois,Whiteside County,Small town,12.9%,1.7%
Washington,Skamania County,Metro area,12.9%,3.0%
New York,Washington County,Metro area,12.9%,1.7%
Louisiana,West Baton Rouge Parish,Metro area,12.9%,2.9%
Tennessee,Jefferson County,Metro area,12.9%,1.9%
Texas,Panola County,Rural area,12.9%,2.7%
Illinois,Massac County,Small town,12.9%,2.7%
Texas,Eastland County,Rural area,12.9%,3.3%
Virginia,Pittsylvania County,Small town,12.9%,2.0%
Arizona,Mohave County,Metro area,12.9%,1.0%
Kentucky,Muhlenberg County,Small town,12.9%,2.6%
Texas,Lee County,Rural area,12.9%,3.3%
Kentucky,Garrard County,Rural area,12.9%,2.5%
Florida,Glades County,Rural area,12.9%,4.4%
Ohio,Harrison County,Rural area,12.9%,2.6%
New York,Delaware County,Rural area,12.9%,1.5%
Mississippi,Monroe County,Rural area,12.8%,2.0%
Missouri,Morgan County,Rural area,12.8%,2.7%
Oklahoma,Oklahoma County,Metro area,12.8%,0.4%
New York,Queens County,Metro area,12.8%,0.3%
Oklahoma,Washington County,Small town,12.8%,1.3%
Wisconsin,Langlade County,Rural area,12.8%,2.5%
Louisiana,Jefferson Parish,Metro area,12.8%,0.7%
Alaska,Wrangell City and Borough,Rural area,12.8%,3.1%
Georgia,Baker County,Rural area,12.8%,5.6%
Kansas,Wyandotte County,Metro area,12.8%,0.9%
Pennsylvania,Tioga County,Rural area,12.8%,1.1%
Louisiana,Livingston Parish,Metro area,12.8%,1.8%
Texas,Gray County,Small town,12.8%,2.6%
Illinois,Madison County,Metro area,12.8%,0.8%
Virginia,Lynchburg city,Metro area,12.8%,1.4%
North Carolina,Alamance County,Metro area,12.8%,0.9%
Wisconsin,Jackson County,Rural area,12.8%,2.0%
North Carolina,Harnett County,Metro area,12.8%,1.3%
Michigan,St. Clair County,Metro area,12.8%,0.8%
Wisconsin,Rock County,Metro area,12.8%,1.0%
Alabama,Cherokee County,Rural area,12.8%,2.2%
North Carolina,Swain County,Small town,12.8%,3.1%
Kentucky,Bracken County,Metro area,12.7%,3.0%
Michigan,Calhoun County,Metro area,12.7%,1.0%
Texas,Milam County,Rural area,12.7%,3.0%
Virginia,Mecklenburg County,Rural area,12.7%,1.7%
New Mexico,Taos County,Small town,12.7%,2.6%
Oklahoma,Creek County,Metro area,12.7%,0.9%
Arkansas,Johnson County,Rural area,12.7%,2.2%
Texas,Hardin County,Metro area,12.7%,2.3%
Iowa,Woodbury County,Metro area,12.7%,1.1%
Texas,Rains County,Rural area,12.7%,2.6%
Montana,Roosevelt County,Rural area,12.7%,2.9%
Missouri,Miller County,Rural area,12.7%,2.5%
Michigan,Sanilac County,Rural area,12.7%,1.0%
Texas,Sabine County,Rural area,12.7%,3.1%
Georgia,DeKalb County,Metro area,12.7%,0.7%
Missouri,St. Clair County,Rural area,12.7%,2.6%
Virginia,Richmond County,Rural area,12.7%,4.4%
Texas,McLennan County,Metro area,12.7%,1.0%
Arkansas,Clark County,Small town,12.6%,2.9%
South Carolina,Jasper County,Metro area,12.6%,2.9%
West Virginia,Tyler County,Rural area,12.6%,2.9%
Texas,Lamar County,Small town,12.6%,1.6%
Ohio,Washington County,Small town,12.6%,1.3%
Ohio,Carroll County,Metro area,12.6%,2.4%
Kentucky,Greenup County,Metro area,12.6%,1.7%
Arkansas,Sebastian County,Metro area,12.6%,1.2%
Texas,Fannin County,Small town,12.6%,2.1%
Idaho,Washington County,Rural area,12.6%,3.3%
Ohio,Seneca County,Small town,12.6%,1.6%
North Carolina,Alleghany County,Rural area,12.6%,3.0%
New Mexico,Sandoval County,Metro area,12.6%,1.1%
Virginia,Charles City County,Metro area,12.6%,2.4%
Pennsylvania,Westmoreland County,Metro area,12.6%,0.7%
West Virginia,Hampshire County,Metro area,12.6%,3.4%
Arkansas,White County,Small town,12.6%,1.6%
Iowa,Van Buren County,Rural area,12.6%,2.8%
Kentucky,Graves County,Small town,12.6%,1.9%
Illinois,Scott County,Small town,12.6%,2.8%
Colorado,Prowers County,Rural area,12.6%,4.0%
District of Columbia,District of Columbia,Metro area,12.5%,0.5%
Washington,Clallam County,Small town,12.5%,1.3%
Mississippi,Pearl River County,Small town,12.5%,2.1%
Texas,Foard County,Rural area,12.5%,8.0%
Idaho,Owyhee County,Metro area,12.5%,2.5%
North Carolina,Caldwell County,Metro area,12.5%,1.5%
Texas,Taylor County,Metro area,12.5%,1.0%
South Dakota,Tripp County,Rural area,12.5%,3.9%
Texas,Hockley County,Small town,12.5%,2.6%
Pennsylvania,Pike County,Metro area,12.5%,1.8%
Virginia,Greensville County,Rural area,12.5%,4.0%
Colorado,Huerfano County,Rural area,12.5%,3.9%
Missouri,Buchanan County,Metro area,12.5%,1.1%
Mississippi,Carroll County,Small town,12.5%,4.3%
New York,Genesee County,Small town,12.5%,1.4%
Arkansas,Cross County,Rural area,12.5%,3.1%
Virginia,Grayson County,Rural area,12.5%,3.0%
Nevada,Clark County,Metro area,12.5%,0.2%
Pennsylvania,Delaware County,Metro area,12.5%,0.6%
Wisconsin,Price County,Rural area,12.5%,1.6%
California,Modoc County,Rural area,12.5%,3.8%
Wisconsin,Barron County,Rural area,12.5%,1.6%
Illinois,Effingham County,Small town,12.4%,1.5%
Kentucky,Warren County,Metro area,12.4%,1.3%
Georgia,Glynn County,Metro area,12.4%,1.6%
New York,Cortland County,Small town,12.4%,1.5%
Missouri,Harrison County,Rural area,12.4%,3.0%
Utah,Carbon County,Small town,12.4%,2.1%
Wisconsin,Wood County,Small town,12.4%,1.2%
Texas,Hunt County,Metro area,12.4%,1.6%
Indiana,Switzerland County,Rural area,12.4%,3.4%
Georgia,Murray County,Metro area,12.4%,2.4%
Nebraska,Kimball County,Rural area,12.4%,3.8%
Missouri,Texas County,Rural area,12.4%,2.3%
Indiana,Lake County,Metro area,12.4%,0.6%
Michigan,Montcalm County,Metro area,12.4%,1.2%
Indiana,Marion County,Metro area,12.4%,0.6%
Pennsylvania,Monroe County,Metro area,12.4%,1.3%
Arizona,Pima County,Metro area,12.4%,0.4%
Arkansas,Drew County,Rural area,12.4%,3.0%
Idaho,Canyon County,Metro area,12.3%,1.0%
Illinois,Christian County,Small town,12.3%,1.7%
Iowa,Clay County,Small town,12.3%,2.9%
Alabama,Covington County,Rural area,12.3%,1.6%
South Dakota,Roberts County,Rural area,12.3%,2.5%
Texas,Childress County,Rural area,12.3%,6.3%
Georgia,Lamar County,Metro area,12.3%,4.1%
Wisconsin,Iron County,Rural area,12.3%,1.7%
Kansas,Cherokee County,Rural area,12.3%,2.8%
Oregon,Hood River County,Small town,12.3%,3.2%
Montana,Chouteau County,Rural area,12.3%,2.6%
Rhode Island,Kent County,Metro area,12.3%,0.9%
New York,Schenectady County,Metro area,12.3%,1.1%
Oklahoma,Love County,Small town,12.3%,2.4%
Mississippi,Yalobusha County,Rural area,12.3%,2.9%
Kentucky,Webster County,Rural area,12.3%,3.0%
Florida,Pasco County,Metro area,12.3%,0.6%
Oklahoma,Blaine County,Rural area,12.3%,3.5%
California,Siskiyou County,Rural area,12.3%,1.5%
New Mexico,Catron County,Rural area,12.3%,6.4%
Virginia,Pulaski County,Metro area,12.3%,1.9%
California,Butte County,Metro area,12.3%,0.9%
Washington,Walla Walla County,Metro area,12.3%,1.7%
Arkansas,Grant County,Metro area,12.3%,3.0%
Pennsylvania,Wayne County,Rural area,12.3%,1.5%
Georgia,Lincoln County,Metro area,12.3%,2.8%
Maryland,Cecil County,Metro area,12.3%,1.3%
Wisconsin,Juneau County,Rural area,12.3%,1.5%
Indiana,Orange County,Rural area,12.3%,2.3%
Mississippi,Leake County,Rural area,12.2%,2.7%
Kentucky,Union County,Rural area,12.2%,2.9%
New York,Madison County,Metro area,12.2%,1.4%
Washington,Douglas County,Metro area,12.2%,1.9%
Missouri,Marion County,Small town,12.2%,2.4%
Wisconsin,Monroe County,Rural area,12.2%,1.7%
New York,Steuben County,Small town,12.2%,0.9%
Michigan,Alcona County,Rural area,12.2%,1.4%
New York,Schoharie County,Metro area,12.2%,1.8%
Virginia,Craig County,Metro area,12.2%,5.4%
Texas,DeWitt County,Rural area,12.2%,2.5%
Colorado,Delta County,Rural area,12.2%,2.0%
North Carolina,Forsyth County,Metro area,12.2%,0.8%
Michigan,Jackson County,Metro area,12.2%,0.9%
Iowa,Adams County,Rural area,12.2%,3.3%
Pennsylvania,Allegheny County,Metro area,12.2%,0.3%
Tennessee,Fayette County,Metro area,12.2%,1.6%
Indiana,Randolph County,Rural area,12.1%,1.9%
Texas,Garza County,Rural area,12.1%,5.6%
New York,Lewis County,Rural area,12.1%,1.7%
Kansas,Elk County,Rural area,12.1%,3.4%
Texas,Brown County,Small town,12.1%,2.1%
Tennessee,Franklin County,Small town,12.1%,1.8%
Texas,Dickens County,Rural area,12.1%,4.5%
New York,Tioga County,Metro area,12.1%,1.5%
South Carolina,Oconee County,Small town,12.1%,1.6%
Virginia,Carroll County,Rural area,12.1%,3.0%
California,Shasta County,Metro area,12.1%,0.9%
Oklahoma,Osage County,Metro area,12.1%,1.4%
Wisconsin,Richland County,Rural area,12.1%,1.8%
Pennsylvania,Bradford County,Small town,12.1%,1.3%
Mississippi,Scott County,Rural area,12.1%,2.5%
North Carolina,Gates County,Metro area,12.1%,3.7%
Arkansas,Fulton County,Rural area,12.1%,3.4%
Kansas,Montgomery County,Small town,12.1%,1.7%
Arkansas,Garland County,Metro area,12.0%,1.4%
Indiana,Knox County,Small town,12.0%,2.2%
Idaho,Butte County,Metro area,12.0%,3.6%
Vermont,Franklin County,Metro area,12.0%,1.7%
Ohio,Sandusky County,Small town,12.0%,1.5%
Michigan,Alger County,Rural area,12.0%,3.1%
Colorado,Jackson County,Rural area,12.0%,9.7%
North Carolina,Granville County,Metro area,12.0%,1.7%
Arizona,Graham County,Small town,12.0%,2.0%
Wisconsin,Kenosha County,Metro area,12.0%,0.9%
Tennessee,Cumberland County,Small town,12.0%,1.8%
Georgia,Irwin County,Rural area,12.0%,3.7%
Virginia,Covington city,Rural area,12.0%,5.4%
Alabama,Conecuh County,Rural area,12.0%,3.5%
Michigan,Ingham County,Metro area,12.0%,0.6%
Tennessee,Chester County,Metro area,12.0%,3.1%
Texas,Stephens County,Rural area,12.0%,4.0%
Maine,Waldo County,Rural area,12.0%,1.7%
North Carolina,Catawba County,Metro area,12.0%,1.0%
Arkansas,Cleveland County,Metro area,12.0%,3.8%
Iowa,Adair County,Rural area,12.0%,2.8%
South Dakota,Fall River County,Rural area,12.0%,3.8%
Georgia,Rockdale County,Metro area,12.0%,1.4%
North Dakota,Eddy County,Rural area,12.0%,4.4%
Kansas,Allen County,Rural area,12.0%,2.8%
Indiana,Washington County,Metro area,12.0%,2.3%
New Jersey,Atlantic County,Metro area,12.0%,0.8%
Oklahoma,Murray County,Rural area,11.9%,2.1%
Wisconsin,Green Lake County,Rural area,11.9%,1.8%
Georgia,Putnam County,Rural area,11.9%,3.4%
Florida,Citrus County,Metro area,11.9%,1.2%
Pennsylvania,Bedford County,Rural area,11.9%,1.1%
Iowa,Page County,Rural area,11.9%,2.3%
Arkansas,Randolph County,Rural area,11.9%,2.7%
Indiana,Vermillion County,Metro area,11.9%,2.8%
Iowa,Clinton County,Small town,11.9%,1.5%
Virginia,Southampton County,Metro area,11.9%,2.5%
Iowa,Decatur County,Rural area,11.9%,2.8%
Texas,Lynn County,Metro area,11.9%,3.5%
Missouri,Audrain County,Small town,11.9%,2.4%
Pennsylvania,Lebanon County,Metro area,11.9%,1.1%
Missouri,Barry County,Rural area,11.9%,1.8%
New Jersey,Camden County,Metro area,11.9%,0.7%
West Virginia,Pleasants County,Rural area,11.9%,3.6%
Arkansas,Pope County,Small town,11.9%,1.7%
South Carolina,McCormick County,Rural area,11.9%,2.7%
Tennessee,Greene County,Small town,11.9%,1.6%
Kansas,Harper County,Rural area,11.8%,2.9%
Illinois,DeKalb County,Metro area,11.8%,1.4%
Arkansas,Howard County,Rural area,11.8%,3.1%
Mississippi,Marshall County,Metro area,11.8%,2.4%
